A,beta
-22,1.02196718080792
-21,1.0262531195734
-20,1.03053135287914
-19,1.03477720641578
-18,1.03896560646274
-17,1.04307109069571
-16,1.04706782515448
-15,1.05092962752215
-14,1.05462999685251
-13,1.05814214986472
-12,1.06143906390165
-11,1.06449352662142
-10,1.06727819245944
-9,1.06976564586249
-8,1.07192847125483
-7,1.0737393296514
-6,1.07517104178281
-5,1.07619667754341
-4,1.07678965151544
-3,1.07692382426125
-2,1.07657360901109
-1,1.07571408330679
0,1.07432110509304
1,1.07237143267739
2,1.0698428479092
3,1.06671428185751
4,1.06296594219776
5,1.05857944145037
6,1.05353792514975
7,1.04782620608024
8,1.04143792830329
9,1.03438858243758
10,1.02669841447982
11,1.0183886760723
12,1.00948153755947
13,1
14,0.989967806569794
15,0.979409353779581
16,0.968349602916105
17,0.956813992099883
18,0.944828349334345
19,0.932418806901597
20,0.919611717439057
21,0.906439078248085
22,0.892962969805541
23,0.87925362562367
24,0.865378228384825
25,0.851400753138863
26,0.837381868304208
27,0.823378880260665
28,0.809445718077317
29,0.795632954842804
30,0.781987862060328
